NR_ZONA,NM_CANDIDATO,BAIRRO,proporcao,porcentagem
123,ADALMIR D AGUILA DE SOUZA,DEODORO,0.7534614297824244,75.34614297824244
219,ADEJAIR SANCHES DE AGUIAR,CASCADURA,0.7313650979245835,73.13650979245836
188,ALEXANDRE ISQUIERDO MOREIRA,VILA DA PENHA,0.16577974870657797,16.577974870657798
122,ANTONIO JOSE PAPERA DE AZEVEDO,CAMPO GRANDE,0.6139096316921908,61.390963169219084
9,CARLO FERREIRA DE CAIADO CASTRO,BARRA DA TIJUCA,0.201168192061813,20.1168192061813
211,CARLOS EDUARDO DE MATTOS,JARDIM BOTÂNICO,0.11740466022327115,11.740466022327114
9,CARLOS NANTES BOLSONARO,BARRA DA TIJUCA,0.04767900741673449,4.767900741673449
185,CELIO CESAR LUPPARELLI FARIA,TAQUARA,0.23089032709463006,23.089032709463005
9,CESAR EPITÁCIO MAIA,BARRA DA TIJUCA,0.058708269259387866,5.870826925938786
119,CLAUDIO BONFIM DE CASTRO E SILVA,BARRA DA TIJUCA,0.07836294416243655,7.836294416243655
211,DAVID MICHAEL DOS SANTOS MIRANDA,JARDIM BOTÂNICO,0.06726094003241491,6.726094003241491
120,ELISEU GOMES KESSLER,CAMPO GRANDE,0.11818296849297735,11.818296849297734
185,FELIPE MICHEL,TAQUARA,0.33987195205012943,33.987195205012945
167,FERNANDO WILLIAM FERREIRA,IRAJÁ,0.1253139458030403,12.531394580304031
245,GILBERTO DE OLIVEIRA LIMA,CAMPO GRANDE,0.18088563883810685,18.088563883810686
234,ITALO PEREIRA CAMPOS,JARDIM SULACAP,0.42018196856906537,42.018196856906535
23,JAIR BARBOSA TAVARES,MARECHAL HERMES,0.7943398818519027,79.43398818519027
230,JAIRO SOUZA SANTOS JUNIOR,JARDIM SULACAP,0.36474139985699533,36.47413998569953
179,JOAO FRANCISCO INACIO BRAZAO,BARRA DA TIJUCA,0.3414548553667218,34.14548553667218
246,JOÃO MENDES DE JESUS,SANTA CRUZ,0.0765299378772525,7.65299378772525
211,JOÃO RICARDO RIBAS JUNIOR,JARDIM BOTÂNICO,0.18748140065469696,18.748140065469695
246,JONES BARBOSA DE MOURA,SANTA CRUZ,0.06084590650507049,6.0845906505070495
179,JORGE HENRIQUE MARTINS MANAIA,BARRA DA TIJUCA,0.05862884160756501,5.862884160756502
24,JORGE MIGUEL FELIPPE,JARDIM SULACAP,0.20191843952628477,20.191843952628478
23,JOSÉ INALDO FERNANDES DA SILVA,MARECHAL HERMES,0.06333573544719354,6.3335735447193535
238,JOSE RENATO CARDOZO MOURA,JARDIM SULACAP,0.3260455207982958,32.60455207982958
119,LEANDRO LYRA BRAGA DOGNINI,BARRA DA TIJUCA,0.16563245823389022,16.56324582338902
245,LEONEL BRIZOLA,CAMPO GRANDE,0.0620614377046624,6.20614377046624
7,LUCIANA GONÇALVES DE NOVAES,TIJUCA,0.049459204032342746,4.9459204032342745
245,LUIS ANTONIO DA COSTA RAMOS,CAMPO GRANDE,0.10008936550491511,10.00893655049151
233,MARCELINO ANTONIO D ALMEIDA,JARDIM SULACAP,0.28131179960448255,28.131179960448254
9,MARCELLO MORAES SICILIANO,BARRA DA TIJUCA,0.3300427147603227,33.00427147603227
179,MARCELO ARAR,BARRA DA TIJUCA,0.08774314996862581,8.77431499686258
246,MARCELO BEZERRA CRIVELLA,SANTA CRUZ,0.04324571542464922,4.3245715424649225
188,MARIA TERESA BERGHER,VILA DA PENHA,0.3753580359172539,37.53580359172539
16,MARIELLE FRANCISCO DA SILVA,LARANJEIRAS,0.0873828125,8.73828125
161,OTONI MOURA DE PAULO JUNIOR,OLARIA,0.15676039737329517,15.676039737329518
7,PAULO PINHEIRO,TIJUCA,0.10335727899135025,10.335727899135025
246,PAULO SANTOS MESSINA,SANTA CRUZ,0.04483837330552659,4.483837330552659
214,RAFAEL ALOISIO FREITAS,MEIER,0.21092458902322345,21.092458902322345
7,REIMONT LUIZ OTONI SANTA BARBARA,TIJUCA,0.11124869035146204,11.124869035146205
16,RENATO ATHAYDE SILVA,LARANJEIRAS,0.07758255715495344,7.758255715495343
120,ROGERIO DE CASTRO LOPES,CAMPO GRANDE,0.7236108092443672,72.36108092443672
22,ROOSEVELT BARRETO BARCELOS,IRAJÁ,0.6101183828456556,61.011838284565556
22,ROSA MARIA ORLANDO FERNANDES,IRAJÁ,0.34375899453132497,34.3758994531325
246,TADEU AMORIM DE BARROS JUNIOR,SANTA CRUZ,0.16566265060240964,16.566265060240966
211,TÂNIA CRISTINA MAGALHÃES BASTOS E SILVA,JARDIM BOTÂNICO,0.12273727984344422,12.273727984344422
7,TARCÍSIO MOTTA DE CARVALHO,TIJUCA,0.06991607620525596,6.9916076205255955
179,THIAGO KWIATKOWSKI RIBEIRO,BARRA DA TIJUCA,0.11068132464712269,11.068132464712269
218,VERA LUCIA FERREIRA LINS,CASCADURA,0.24400038244574052,24.400038244574052
246,VERÔNICA CHAVES DE CARVALHO COSTA,SANTA CRUZ,0.04326174914410209,4.326174914410209
25,WILLIAN CARVALHO DOS SANTOS,SANTA CRUZ,0.607910906298003,60.7910906298003
